three_character,group,sub_chapter
Q72,Reduction defects of lower limb,Congenital malformations and deformations of the musculoskeletal system
Q73,Reduction defects of unspecified limb,Congenital malformations and deformations of the musculoskeletal system
Q74,Other congenital malformations of limb(s),Congenital malformations and deformations of the musculoskeletal system
Q75,Other congenital malformations of skull and face bones,Congenital malformations and deformations of the musculoskeletal system
Q76,Congenital malformations of spine and bony thorax,Congenital malformations and deformations of the musculoskeletal system
Q77,Osteochondrodysplasia with defects of growth of tubular bones and spine,Congenital malformations and deformations of the musculoskeletal system
Q78,Other osteochondrodysplasias,Congenital malformations and deformations of the musculoskeletal system
Q79,"Congenital malformations of the musculoskeletal system, not elsewhere classified",Congenital malformations and deformations of the musculoskeletal system
Q80,Congenital ichthyosis,Other congenital malformations
Q81,Epidermolysis bullosa,Other congenital malformations
Q82,Other congenital malformations of skin,Other congenital malformations
Q83,Congenital malformations of breast,Other congenital malformations
Q84,Other congenital malformations of integument,Other congenital malformations
Q85,"Phakomatoses, not elsewhere classified",Other congenital malformations
Q86,"Congenital malformation syndromes due to known exogenous causes, not elsewhere classified",Other congenital malformations
Q87,Other specified congenital malformation syndromes affecting multiple systems,Other congenital malformations
Q89,"Other congenital malformations, not elsewhere classified",Other congenital malformations
Q90,Down's syndrome,"Chromosomal abnormalities, not elsewhere classified"
Q91,Edwards' syndrome and Patau's syndrome,"Chromosomal abnormalities, not elsewhere classified"
Q92,"Other trisomies and partial trisomies of the autosomes, not elsewhere classified","Chromosomal abnormalities, not elsewhere classified"
Q93,"Monosomies and deletions from the autosomes, not elsewhere classified","Chromosomal abnormalities, not elsewhere classified"
Q95,"Balanced rearrangements and structural markers, not elsewhere classified","Chromosomal abnormalities, not elsewhere classified"
Q96,Turner's syndrome,"Chromosomal abnormalities, not elsewhere classified"
Q97,"Other sex chromosome abnormalities, female phenotype, not elsewhere classified","Chromosomal abnormalities, not elsewhere classified"
Q98,"Other sex chromosome abnormalities, male phenotype, not elsewhere classified","Chromosomal abnormalities, not elsewhere classified"
Q99,"Other chromosome abnormalities, not elsewhere classified","Chromosomal abnormalities, not elsewhere classified"
R00,Abnormalities of heart beat,Symptoms and signs involving the ciculatory and respiratory systems
R01,Cardiac murmurs and other cardiac sounds,Symptoms and signs involving the ciculatory and respiratory systems
R02,"Gangrene, not elsewhere classified",Symptoms and signs involving the ciculatory and respiratory systems
R03,"Abnormal blood-pressure reading, without diagnosis",Symptoms and signs involving the ciculatory and respiratory systems
R04,Haemorrhage from respiratory passages,Symptoms and signs involving the ciculatory and respiratory systems
R05,Cough,Symptoms and signs involving the ciculatory and respiratory systems
R06,Abnormalities of breathing,Symptoms and signs involving the ciculatory and respiratory systems
R07,Pain in throat and chest,Symptoms and signs involving the ciculatory and respiratory systems
R09,Other symptoms and signs involving the circulatory and respiratory systems,Symptoms and signs involving the ciculatory and respiratory systems
R10,Abdominal and pelvic pain,Symptoms and signs involving the digestive system and abdomen
R11,Nausea and vomiting,Symptoms and signs involving the digestive system and abdomen
R12,Heartburn,Symptoms and signs involving the digestive system and abdomen
R13,Dysphagia,Symptoms and signs involving the digestive system and abdomen
R14,Flatulence and related conditions,Symptoms and signs involving the digestive system and abdomen
R15,Faecal incontinence,Symptoms and signs involving the digestive system and abdomen
R16,"Hepatomegaly and splenomegaly, not elsewhere classified",Symptoms and signs involving the digestive system and abdomen
R17,Unspecified jaundice,Symptoms and signs involving the digestive system and abdomen
R18,Ascites,Symptoms and signs involving the digestive system and abdomen
R19,Other symptoms and signs involving the digestive system and abdomen,Symptoms and signs involving the digestive system and abdomen
R20,Disturbances of skin sensation,Symptoms and signs involving the skin and subcutaneous tissue
R21,Rash and other nonspecific skin eruption,Symptoms and signs involving the skin and subcutaneous tissue
R22,"Localized swelling, mass and lump of skin and subcutaneous tissue",Symptoms and signs involving the skin and subcutaneous tissue
R23,Other skin changes,Symptoms and signs involving the skin and subcutaneous tissue
R25,Abnormal involuntary movements,Symptoms and signs involving the nervous and musculoskeletal systems
R26,Abnormalities of gait and mobility,Symptoms and signs involving the nervous and musculoskeletal systems
R27,Other lack of coordination,Symptoms and signs involving the nervous and musculoskeletal systems
R29,Other symptoms and signs involving the nervous and musculoskeletal systems,Symptoms and signs involving the nervous and musculoskeletal systems
R30,Pain associated with micturition,Symptoms and signs involving the urinary system
R31,Unspecified haematuria,Symptoms and signs involving the urinary system
R32,Unspecified urinary incontinence,Symptoms and signs involving the urinary system
R33,Retention of urine,Symptoms and signs involving the urinary system
R34,Anuria and oliguria,Symptoms and signs involving the urinary system
R35,Polyuria,Symptoms and signs involving the urinary system
R36,Urethral discharge,Symptoms and signs involving the urinary system
R39,Other symptoms and signs involving the urinary system,Symptoms and signs involving the urinary system
R40,"Somnolence, stupor and coma","Symptoms and signs involving cognition, perception, emotional state and behaviour"
R41,Other symptoms and signs involving cognitive functions and awareness,"Symptoms and signs involving cognition, perception, emotional state and behaviour"
R42,Dizziness and giddiness,"Symptoms and signs involving cognition, perception, emotional state and behaviour"
R43,Disturbances of smell and taste,"Symptoms and signs involving cognition, perception, emotional state and behaviour"
R44,Other symptoms and signs involving general sensations and perceptions,"Symptoms and signs involving cognition, perception, emotional state and behaviour"
R45,Symptoms and signs involving emotional state,"Symptoms and signs involving cognition, perception, emotional state and behaviour"
R46,Symptoms and signs involving appearance and behaviour,"Symptoms and signs involving cognition, perception, emotional state and behaviour"
R47,"Speech disturbances, not elsewhere classified",Symptoms and signs involving speech and voice
R48,"Dyslexia and other symbolic dysfunctions, not elsewhere classified",Symptoms and signs involving speech and voice
R49,Voice disturbances,Symptoms and signs involving speech and voice
R50,Fever of unknown origin,General symptoms and signs
R51,Headache,General symptoms and signs
R52,"Pain, not elsewhere classified",General symptoms and signs
R53,Malaise and fatigue,General symptoms and signs
R54,Senility,General symptoms and signs
R55,Syncope and collapse,General symptoms and signs
R56,"Convulsions, not elsewhere classified",General symptoms and signs
R57,"Shock, not elsewhere classified",General symptoms and signs
R58,"Haemorrhage, not elsewhere classified",General symptoms and signs
R59,Enlarged lymph nodes,General symptoms and signs
R60,"Oedema, not elsewhere classified",General symptoms and signs
R61,Hyperhidrosis,General symptoms and signs
R62,Lack of expected normal physiological development,General symptoms and signs
R63,Symptoms and signs concerning food and fluid intake,General symptoms and signs
R64,Cachexia,General symptoms and signs
R65,Systemic Inflammatory Response Syndrome (SIRS),General symptoms and signs
R68,Other general symptoms and signs,General symptoms and signs
R69,Unknown and unspecified causes of morbidity,General symptoms and signs
R70,Elevated erythrocyte sedimentation rate and abnormality of plasma viscosity,"Abnormal findings on examination of blood, without diagnosis"
R71,Abnormality of red blood cells,"Abnormal findings on examination of blood, without diagnosis"
R72,"Abnormality of white blood cells, not elsewhere classified","Abnormal findings on examination of blood, without diagnosis"
R73,Elevated blood glucose level,"Abnormal findings on examination of blood, without diagnosis"
R74,Abnormal serum enzyme levels,"Abnormal findings on examination of blood, without diagnosis"
R75,Laboratory evidence of human immunodeficiency virus [HIV],"Abnormal findings on examination of blood, without diagnosis"
R76,Other abnormal immunological findings in serum,"Abnormal findings on examination of blood, without diagnosis"
R77,Other abnormalities of plasma proteins,"Abnormal findings on examination of blood, without diagnosis"
R78,"Findings of drugs and other substances, not normally found in blood","Abnormal findings on examination of blood, without diagnosis"
R79,Other abnormal findings of blood chemistry,"Abnormal findings on examination of blood, without diagnosis"
R80,Isolated proteinuria,"Abnormal findings on examination of urine, without diagnosis"
R81,Glycosuria,"Abnormal findings on examination of urine, without diagnosis"
R82,Other abnormal findings in urine,"Abnormal findings on examination of urine, without diagnosis"
R83,Abnormal findings in cerebrospinal fluid,"Abnormal findings on examination of other body fluids, substances and tissues, without diagnosis"
R84,Abnormal findings in specimens from respiratory organs and thorax,"Abnormal findings on examination of other body fluids, substances and tissues, without diagnosis"
R85,Abnormal findings in specimens from digestive organs and abdominal cavity,"Abnormal findings on examination of other body fluids, substances and tissues, without diagnosis"
R86,Abnormal findings in specimens from male genital organs,"Abnormal findings on examination of other body fluids, substances and tissues, without diagnosis"
R87,Abnormal findings in specimens from female genital organs,"Abnormal findings on examination of other body fluids, substances and tissues, without diagnosis"
R89,"Abnormal findings in specimens from other organs, systems and tissues","Abnormal findings on examination of other body fluids, substances and tissues, without diagnosis"
R90,Abnormal findings on diagnostic imaging of central nervous system,"Abnormal findings on diagnostic imaging and in function studies, without diagnosis"
R91,Abnormal findings on diagnostic imaging of lung,"Abnormal findings on diagnostic imaging and in function studies, without diagnosis"
R92,Abnormal findings on diagnostic imaging of breast,"Abnormal findings on diagnostic imaging and in function studies, without diagnosis"
R93,Abnormal findings on diagnostic imaging of other body structures,"Abnormal findings on diagnostic imaging and in function studies, without diagnosis"
R94,Abnormal results of function studies,"Abnormal findings on diagnostic imaging and in function studies, without diagnosis"
R95,Sudden infant death syndrome,Ill-defined and unknown causes of mortality
R96,"Other sudden death, cause unknown",Ill-defined and unknown causes of mortality
R98,Unattended death,Ill-defined and unknown causes of mortality
R99,Other ill-defined and unspecified causes of mortality,Ill-defined and unknown causes of mortality
S00,Superficial injury of head,Injuries to the head
S01,Open wound of head,Injuries to the head
S02,Fracture of skull and facial bones,Injuries to the head
S03,"Dislocation, sprain and strain of joints and ligaments of head",Injuries to the head
S04,Injury of cranial nerves,Injuries to the head
S05,Injury of eye and orbit,Injuries to the head
S06,Intracranial injury,Injuries to the head
S07,Crushing injury of head,Injuries to the head
S08,Traumatic amputation of part of head,Injuries to the head
S09,Other and unspecified injuries of head,Injuries to the head
S10,Superficial injury of neck,Injuries to the neck
S11,Open wound of neck,Injuries to the neck
S12,Fracture of neck,Injuries to the neck
S13,"Dislocation, sprain and strain of joints and ligaments at neck level",Injuries to the neck
S14,Injury of nerves and spinal cord at neck level,Injuries to the neck
S15,Injury of blood vessels at neck level,Injuries to the neck
S16,Injury of muscle and tendon at neck level,Injuries to the neck
S17,Crushing injury of neck,Injuries to the neck
S18,Traumatic amputation at neck level,Injuries to the neck
S19,Other and unspecified injuries of neck,Injuries to the neck
S20,Superficial injury of thorax,Injuries to the thorax
S21,Open wound of thorax,Injuries to the thorax
S22,"Fracture of rib(s), sternum and thoracic spine",Injuries to the thorax
S23,"Dislocation, sprain and strain of joints and ligaments of thorax",Injuries to the thorax
S24,Injury of nerves and spinal cord at thorax level,Injuries to the thorax
S25,Injury of blood vessels of thorax,Injuries to the thorax
S26,Injury of heart,Injuries to the thorax
S27,Injury of other and unspecified intrathoracic organs,Injuries to the thorax
S28,Crushing injury of thorax and traumatic amputation of part of thorax,Injuries to the thorax
S29,Other and unspecified injuries of thorax,Injuries to the thorax
S30,"Superficial injury of abdomen, lower back and pelvis","Injuries to the abdomen, lower back, lumbar spine and pelvis"
S31,"Open wound of abdomen, lower back and pelvis","Injuries to the abdomen, lower back, lumbar spine and pelvis"
S32,Fracture of lumbar spine and pelvis,"Injuries to the abdomen, lower back, lumbar spine and pelvis"
S33,"Dislocation, sprain and strain of joints and ligaments of lumbar spine and pelvis","Injuries to the abdomen, lower back, lumbar spine and pelvis"
S34,"Injury of nerves and lumbar spinal cord at abdomen, lower back and pelvis level","Injuries to the abdomen, lower back, lumbar spine and pelvis"
S35,"Injury of blood vessels at abdomen, lower back and pelvis level","Injuries to the abdomen, lower back, lumbar spine and pelvis"
S36,Injury of intra-abdominal organs,"Injuries to the abdomen, lower back, lumbar spine and pelvis"
S37,Injury of pelvic organs,"Injuries to the abdomen, lower back, lumbar spine and pelvis"
S38,"Crushing injury and traumatic amputation of part of abdomen, lower back and pelvis","Injuries to the abdomen, lower back, lumbar spine and pelvis"
S39,"Other and unspecified injuries of abdomen, lower back and pelvis","Injuries to the abdomen, lower back, lumbar spine and pelvis"
S40,Superficial injury of shoulder and upper arm,Injuries to the shoulder and upper arm
S41,Open wound of shoulder and upper arm,Injuries to the shoulder and upper arm
S42,Fracture of shoulder and upper arm,Injuries to the shoulder and upper arm
S43,"Dislocation, sprain and strain of joints and ligaments of shoulder girdle",Injuries to the shoulder and upper arm
S44,Injury of nerves at shoulder and upper arm level,Injuries to the shoulder and upper arm
S45,Injury of blood vessels at shoulder and upper arm level,Injuries to the shoulder and upper arm
S46,Injury of muscle and tendon at shoulder and upper arm level,Injuries to the shoulder and upper arm
S47,Crushing injury of shoulder and upper arm,Injuries to the shoulder and upper arm
S48,Traumatic amputation of shoulder and upper arm,Injuries to the shoulder and upper arm
S49,Other and unspecified injuries of shoulder and upper arm,Injuries to the shoulder and upper arm
S50,Superficial injury of forearm,Injuries to the elbow and forearm
S51,Open wound of forearm,Injuries to the elbow and forearm
S52,Fracture of forearm,Injuries to the elbow and forearm
S53,"Dislocation, sprain and strain of joints and ligaments of elbow",Injuries to the elbow and forearm
S54,Injury of nerves at forearm level,Injuries to the elbow and forearm
S55,Injury of blood vessels at forearm level,Injuries to the elbow and forearm
S56,Injury of muscle and tendon at forearm level,Injuries to the elbow and forearm
S57,Crushing injury of forearm,Injuries to the elbow and forearm
S58,Traumatic amputation of forearm,Injuries to the elbow and forearm
S59,Other and unspecified injuries of forearm,Injuries to the elbow and forearm
S60,Superficial injury of wrist and hand,Injuries to the wrist and hand
S61,Open wound of wrist and hand,Injuries to the wrist and hand
S62,Fracture at wrist and hand level,Injuries to the wrist and hand
S63,"Dislocation, sprain and strain of joints and ligaments at wrist and hand level",Injuries to the wrist and hand
S64,Injury of nerves at wrist and hand level,Injuries to the wrist and hand
S65,Injury of blood vessels at wrist and hand level,Injuries to the wrist and hand
S66,Injury of muscle and tendon at wrist and hand level,Injuries to the wrist and hand
S67,Crushing injury of wrist and hand,Injuries to the wrist and hand
S68,Traumatic amputation of wrist and hand,Injuries to the wrist and hand
S69,Other and unspecified injuries of wrist and hand,Injuries to the wrist and hand
S70,Superficial injury of hip and thigh,Injuries to the hip and thigh
S71,Open wound of hip and thigh,Injuries to the hip and thigh
S72,Fracture of femur,Injuries to the hip and thigh
S73,"Dislocation, sprain and strain of joint and ligaments of hip",Injuries to the hip and thigh
S74,Injury of nerves at hip and thigh level,Injuries to the hip and thigh
S75,Injury of blood vessels at hip and thigh level,Injuries to the hip and thigh
S76,Injury of muscle and tendon at hip and thigh level,Injuries to the hip and thigh
S77,Crushing injury of hip and thigh,Injuries to the hip and thigh
S78,Traumatic amputation of hip and thigh,Injuries to the hip and thigh
S79,Other and specified injuries of hip and thigh,Injuries to the hip and thigh
S80,Superficial injury of lower leg,Injuries to the knee and lower leg
S81,Open wound of lower leg,Injuries to the knee and lower leg
S82,"Fracture of lower leg, including ankle",Injuries to the knee and lower leg
S83,"Dislocation, sprain and strain of joints and ligaments of knee",Injuries to the knee and lower leg
S84,Injury of nerves at lower leg level,Injuries to the knee and lower leg
S85,Injury of blood vessels at lower leg level,Injuries to the knee and lower leg
S86,Injury of muscle and tendon at lower leg level,Injuries to the knee and lower leg
S87,Crushing injury of lower leg,Injuries to the knee and lower leg
S88,Traumatic amputation of lower leg,Injuries to the knee and lower leg
S89,Other and unspecified injuries of lower leg,Injuries to the knee and lower leg
S90,Superficial injury of ankle and foot,Injuries to the ankle and foot
S91,Open wound of ankle and foot,Injuries to the ankle and foot
S92,"Fracture of foot, except ankle",Injuries to the ankle and foot
S93,"Dislocation, sprain and strain of joints and ligaments at ankle and foot level",Injuries to the ankle and foot
S94,Injury of nerves at ankle and foot level,Injuries to the ankle and foot
S95,Injury of blood vessels at ankle and foot level,Injuries to the ankle and foot
S96,Injury of muscle and tendon at ankle and foot level,Injuries to the ankle and foot
S97,Crushing injury of ankle and foot,Injuries to the ankle and foot
S98,Traumatic amputation of ankle and foot,Injuries to the ankle and foot
S99,Other and unspecified injuries of ankle and foot,Injuries to the ankle and foot
T00,Superficial injuries involving multiple body regions,Injuries involving multiple body regions
T01,Open wounds involving multiple body regions,Injuries involving multiple body regions
T02,Fractures involving multiple body regions,Injuries involving multiple body regions
T03,"Dislocations, sprains and strains involving multiple body regions",Injuries involving multiple body regions
T04,Crushing injuries involving multiple body regions,Injuries involving multiple body regions
T05,Traumatic amputations involving multiple body regions,Injuries involving multiple body regions
T06,"Other injuries involving multiple body regions, not elsewhere classified",Injuries involving multiple body regions
T07,Unspecified multiple injuries,Injuries involving multiple body regions
T08,"Fracture of spine, level unspecified","Injuries to specific part of trunk, limb or body region"
T09,"Other injuries of spine and trunk, level unspecified","Injuries to specific part of trunk, limb or body region"
T10,"Fracture of upper limb, level unspecified","Injuries to specific part of trunk, limb or body region"
T11,"Other injuries of upper limb, level unspecified","Injuries to specific part of trunk, limb or body region"
T12,"Fracture of lower limb, level unspecified","Injuries to specific part of trunk, limb or body region"
T13,"Other injuries of lower limb, level unspecified","Injuries to specific part of trunk, limb or body region"
T14,Injury of unspecified body region,"Injuries to specific part of trunk, limb or body region"
T15,Foreign body on external eye,Effects of foreign body entering through natural orifice
T16,Foreign body in ear,Effects of foreign body entering through natural orifice
T17,Foreign body in respiratory tract,Effects of foreign body entering through natural orifice
T18,Foreign body in alimentary tract,Effects of foreign body entering through natural orifice
T19,Foreign body in genitourinary tract,Effects of foreign body entering through natural orifice
T20,Burn and corrosion of head and neck,Burns and corrosions
T21,Burn and corrosion of trunk,Burns and corrosions
T22,"Burn and corrosion of shoulder and upper limb, except wrist and hand",Burns and corrosions
T23,Burn and corrosion of wrist and hand,Burns and corrosions
T24,"Burn and corrosion of hip and lower limb, except ankle and foot",Burns and corrosions
T25,Burn and corrosion of ankle and foot,Burns and corrosions
T26,Burn and corrosion confined to eye and adnexa,Burns and corrosions
T27,Burn and corrosion of respiratory tract,Burns and corrosions
T28,Burn and corrosion of other internal organs,Burns and corrosions
T29,Burns and corrosions of multiple body regions,Burns and corrosions
T30,"Burn and corrosion, body region unspecified",Burns and corrosions
T31,Burns classified according to extent of body surface involved,Burns and corrosions
T32,Corrosions classified according to extent of body surface involved,Burns and corrosions
T33,Superficial frostbite,Frostbite
T34,Frostbite with tissue necrosis,Frostbite
T35,Frostbite involving multiple body regions and unspecified frostbite,Frostbite
T36,Poisoning by systemic antibiotics,"Poisoning by drugs, medicaments and biological substances"
T37,Poisoning by other systemic anti-infectives and antiparasitics,"Poisoning by drugs, medicaments and biological substances"
T38,"Poisoning by hormones and their synthetic substitutes and antagonists, not elsewhere classified","Poisoning by drugs, medicaments and biological substances"
T39,"Poisoning by nonopioid analgesics, antipyretics and antirheumatics","Poisoning by drugs, medicaments and biological substances"
T40,Poisoning by narcotics and psychodysleptics [hallucinogens],"Poisoning by drugs, medicaments and biological substances"
T41,Poisoning by anaesthetics and therapeutic gases,"Poisoning by drugs, medicaments and biological substances"
T42,"Poisoning by antiepileptic, sedative-hypnotic and antiparkinsonism drugs","Poisoning by drugs, medicaments and biological substances"
T43,"Poisoning by psychotropic drugs, not elsewhere classified","Poisoning by drugs, medicaments and biological substances"
T44,Poisoning by drugs primarily affecting the autonomic nervous system,"Poisoning by drugs, medicaments and biological substances"
T45,"Poisoning by primarily systemic and haematological agents, not elsewhere classified","Poisoning by drugs, medicaments and biological substances"
T46,Poisoning by agents primarily affecting the cardiovascular system,"Poisoning by drugs, medicaments and biological substances"
T47,Poisoning by agents primarily affecting the gastrointestinal system,"Poisoning by drugs, medicaments and biological substances"
T48,Poisoning by agents primarily acting on smooth and skeletal muscles and the respiratory system,"Poisoning by drugs, medicaments and biological substances"
T49,"Poisoning by topical agents primarily affecting skin and mucous membrane and by ophthalmological, otorhinolaryngological and dental drugs","Poisoning by drugs, medicaments and biological substances"
T50,"Poisoning by diuretics and other and unspecified drugs, medicaments and biological substances","Poisoning by drugs, medicaments and biological substances"
T51,Toxic effect of alcohol,Toxic effects of substances chiefly nonmedical as to source
T52,Toxic effect of organic solvents,Toxic effects of substances chiefly nonmedical as to source
T53,Toxic effect of halogen derivatives of aliphatic and aromatic hydrocarbons,Toxic effects of substances chiefly nonmedical as to source
T54,Toxic effect of corrosive substances,Toxic effects of substances chiefly nonmedical as to source
T55,Toxic effect of soaps and detergents,Toxic effects of substances chiefly nonmedical as to source
T56,Toxic effect of metals,Toxic effects of substances chiefly nonmedical as to source
T57,Toxic effect of other inorganic substances,Toxic effects of substances chiefly nonmedical as to source
T58,Toxic effect of carbon monoxide,Toxic effects of substances chiefly nonmedical as to source
T59,"Toxic effect of other gases, fumes and vapours",Toxic effects of substances chiefly nonmedical as to source
T60,Toxic effect of pesticides,Toxic effects of substances chiefly nonmedical as to source
T61,Toxic effect of noxious substances eaten as seafood,Toxic effects of substances chiefly nonmedical as to source
T62,Toxic effect of other noxious substances eaten as food,Toxic effects of substances chiefly nonmedical as to source
T63,Toxic effect of contact with venomous animals,Toxic effects of substances chiefly nonmedical as to source
T64,Toxic effect of aflatoxin and other mycotoxin food contaminants,Toxic effects of substances chiefly nonmedical as to source
T65,Toxic effect of other and unspecified substances,Toxic effects of substances chiefly nonmedical as to source
T66,Unspecified effects of radiation,Other and unspecified effects of external causes
T67,Effects of heat and light,Other and unspecified effects of external causes
T68,Hypothermia,Other and unspecified effects of external causes
T69,Other effects of reduced temperature,Other and unspecified effects of external causes
T70,Effects of air pressure and water pressure,Other and unspecified effects of external causes
T71,Asphyxiation,Other and unspecified effects of external causes
T73,Effects of other deprivation,Other and unspecified effects of external causes
T74,Maltreatment syndromes,Other and unspecified effects of external causes
T75,Effects of other external causes,Other and unspecified effects of external causes
T76,Unspecified effects of external causes,Other and unspecified effects of external causes
T78,"Adverse effects, not elsewhere classified",Other and unspecified effects of external causes
T79,"Certain early complications of trauma, not elsewhere classified",Certain early complications of trauma
T80,"Complications following infusion, transfusion and therapeutic injection","Complications of surgical and medical care, not elsewhere classified"
T81,"Complications of procedures, not elsewhere classified","Complications of surgical and medical care, not elsewhere classified"
T82,"Complications of cardiac and vascular prosthetic devices, implants and grafts","Complications of surgical and medical care, not elsewhere classified"
T83,"Complications of genitourinary prosthetic devices, implants and grafts","Complications of surgical and medical care, not elsewhere classified"
T84,"Complications of internal orthopaedic prosthetic devices, implants and grafts","Complications of surgical and medical care, not elsewhere classified"
T85,"Complications of other internal prosthetic devices, implants and grafts","Complications of surgical and medical care, not elsewhere classified"
T86,Failure and rejection of transplanted organs and tissues,"Complications of surgical and medical care, not elsewhere classified"
T87,Complications peculiar to reattachment and amputation,"Complications of surgical and medical care, not elsewhere classified"
T88,"Other complications of surgical and medical care, not elsewhere classified","Complications of surgical and medical care, not elsewhere classified"
T90,Sequelae of injuries of head,"Sequelae of injuries, of poisoning and of other consequences of external causes"
T91,Sequelae of injuries of neck and trunk,"Sequelae of injuries, of poisoning and of other consequences of external causes"
T92,Sequelae of injuries of upper limb,"Sequelae of injuries, of poisoning and of other consequences of external causes"
T93,Sequelae of injuries of lower limb,"Sequelae of injuries, of poisoning and of other consequences of external causes"
T94,Sequelae of injuries involving multiple and unspecified body regions,"Sequelae of injuries, of poisoning and of other consequences of external causes"
T95,"Sequelae of burns, corrosions and frostbite","Sequelae of injuries, of poisoning and of other consequences of external causes"
T96,"Sequelae of poisoning by drugs, medicaments and biological substances","Sequelae of injuries, of poisoning and of other consequences of external causes"
T97,Sequelae of toxic effects of substances chiefly nonmedicinal as to source,"Sequelae of injuries, of poisoning and of other consequences of external causes"
T98,Sequelae of other and unspecified effects of external causes,"Sequelae of injuries, of poisoning and of other consequences of external causes"
V01,Pedestrian injured in collision with pedal cycle,Accidents
V02,Pedestrian injured in collision with two- or three-wheeled motor vehicle,Accidents
V03,"Pedestrian injured in collision with car, pick-up truck or van",Accidents
V04,Pedestrian injured in collision with heavy transport vehicle or bus,Accidents
V05,Pedestrian injured in collision with railway train or railway vehicle,Accidents
V06,Pedestrian injured in collision with other nonmotor vehicle,Accidents
V09,Pedestrian injured in other and unspecified transport accidents,Accidents
V10,Pedal cyclist injured in collision with pedestrian or animal,Accidents
V11,Pedal cyclist injured in collision with other pedal cycle,Accidents
V12,Pedal cyclist injured in collision with two- or three-wheeled motor vehicle,Accidents
V13,"Pedal cyclist injured in collision with car, pick-up truck or van",Accidents
V14,Pedal cyclist injured in collision with heavy transport vehicle or bus,Accidents
V15,Pedal cyclist injured in collision with railway train or railway vehicle,Accidents
V16,Pedal cyclist injured in collision with other nonmotor vehicle,Accidents
V17,Pedal cyclist injured in collision with fixed or stationary object,Accidents
V18,Pedal cyclist injured in noncollision transport accident,Accidents
V19,Pedal cyclist injured in other and unspecified transport accidents,Accidents
V20,Motorcycle rider injured in collision with pedestrian or animal,Accidents
V21,Motorcycle rider injured in collision with pedal cycle,Accidents
V22,Motorcycle rider injured in collision with two- or three-wheeled motor vehicle,Accidents
V23,"Motorcycle rider injured in collision with car, pick-up truck or van",Accidents
V24,Motorcycle rider injured in collision with heavy transport vehicle or bus,Accidents
V25,Motorcycle rider injured in collision with railway train or railway vehicle,Accidents
V26,Motorcycle rider injured in collision with other nonmotor vehicle,Accidents
V27,Motorcycle rider injured in collision with fixed or stationary object,Accidents
V28,Motorcycle rider injured in noncollision transport accident,Accidents
V29,Motorcycle rider injured in other and unspecified transport accidents,Accidents
V30,Occupant of three-wheeled motor vehicle injured in collision with pedestrian or animal,Accidents
V31,Occupant of three-wheeled motor vehicle injured in collision with pedal cycle,Accidents
V32,Occupant of three-wheeled motor vehicle injured in collision withtwo- or three-wheeled motor vehicle,Accidents
V33,"Occupant of three-wheeled motor vehicle injured in collision withcar, pick-up truck or van",Accidents
V34,Occupant of three-wheeled motor vehicle injured in collision with heavy transport vehicle or bus,Accidents
V35,Occupant of three-wheeled motor vehicle injured in collision with railway train or railway vehicle,Accidents
V36,Occupant of three-wheeled motor vehicle injured in collision with other nonmotor vehicle,Accidents
V37,Occupant of three-wheeled motor vehicle injured in collision with fixed or stationary object,Accidents
V38,Occupant of three-wheeled motor vehicle injured in noncollision transport accident,Accidents
V39,Occupant of three-wheeled motor vehicle injured in other and unspecified transport accidents,Accidents
V40,Car occupant injured in collision with pedestrian or animal,Accidents
V41,Car occupant injured in collision with pedal cycle,Accidents
V42,Car occupant injured in collision with two- or three-wheeled motor vehicle,Accidents
V43,"Car occupant injured in collision with car, pick-up truck or van",Accidents
V44,Car occupant injured in collision with heavy transport vehicle or bus,Accidents
V45,Car occupant injured in collision with railway train or railway vehicle,Accidents
V46,Car occupant injured in collision with other nonmotor vehicle,Accidents
V47,Car occupant injured in collision with fixed or stationary object,Accidents
V48,Car occupant injured in noncollision transport accident,Accidents
V49,Car occupant injured in other and unspecified transport accidents,Accidents
V50,Occupant of pick-up truck or van injured in collision with pedestrian or animal,Accidents
V51,Occupant of pick-up truck or van injured in collision with pedalcycle,Accidents
V52,Occupant of pick-up truck or van injured in collision with two- or three-wheeled motor vehicle,Accidents
V53,Occupant of pick-up truck or van injured in collision with car pick-up truck or van,Accidents
V54,Occupant of pick-up truck or van injured in collision with heavy transport vehicle or bus,Accidents
V55,Occupant of pick-up truck or van injured in collision with railway train or railway vehicle,Accidents
V56,Occupant of pick-up truck or van injured in collision with other nonmotor vehicle,Accidents
V57,Occupant of pick-up truck or van injured in collision with fixed or stationary object,Accidents
V58,Occupant of pick-up truck or van injured in noncollision transport accident,Accidents
V59,Occupant of pick-up truck or van injured in other and unspecified transport accidents,Accidents
V60,Occupant of heavy transport vehicle injured in collision with pedestrian or animal,Accidents
V61,Occupant of heavy transport vehicle injured in collision with pedalcycle,Accidents
V62,Occupant of heavy transport vehicle injured in collision with two-or three-wheeled motor vehicle,Accidents
V63,Occupant of heavy transport vehicle injured in collision with car pick-up truck or van,Accidents
V64,Occupant of heavy transport vehicle injured in collision with heavy transport vehicle or bus,Accidents
V65,Occupant of heavy transport vehicle injured in collision with railway train or railway vehicle,Accidents
V66,Occupant of heavy transport vehicle injured in collision with other nonmotor vehicle,Accidents
V67,Occupant of heavy transport vehicle injured in collision with fixed or stationary object,Accidents
V68,Occupant of heavy transport vehicle injured in noncollision transport accident,Accidents
